;region;christian;muslim;country;geoname_id;precision_code;place_name;latitude;longitude;location_type_code;geoname_adm_code;geoname_adm_name;location_class;geographic_exactness;dominant;Reach
0;Alibori;0.0383237;0.9616763;1;2395591;1;Angara-DÃ©bou;11.32454;3.0588601;PPL;6295630|6255146|BJ|08|2395591;Earth|Africa|Benin|Atakora|Angara-DÃ©bou;2;1;muslim;0
47;Sahel;0.045025464;0.95497453;3;2361209;1;Dyoungodyo;13.61165;0.41356;PPL;6295630|6255146|BF|12|2597268|2361209;Earth|Africa|Burkina Faso|Sahel|Province du Yagha|Dyoungodyo;2;1;muslim;0
51;Santiago-Interior;0.95536411;0.0;4;3374226;4;Santa Catarina;15.1;-23.700001;ADM1;6295630|6255146|CV|15;Earth|Africa|Cape Verde|Santa Catarina;1;1;christian;0
57;Volta;0.9139356;0.031989716;5;2293998;1;Worawora;7.5132499;0.37382999;PPL;6295630|6255146|GH|00;Earth|Africa|Ghana|Worawora;2;1;christian;0
65;Central;0.91039348;0.002152629;6;8693007;3;Kiambu County;-1.16667;36.833328;ADM2;6295630|6255146|KE|22|8693007;Earth|Africa|Kenya|Kiambu|Kiambu County;1;1;christian;76150.65751383502
70;North Eastern;0.0036672936;0.99074399;6;8299464;3;Ijara District;-1.452;40.807999;ADM2;6295630|6255146|KE|16|8299464;Earth|Africa|Kenya|Garissa|Ijara District;1;1;muslim;0
72;Maseru;0.96679664;0.0;7;932692;6;Lesotho;-29.5;28.25;PCLI;6295630|6255146|LS;Earth|Africa|Lesotho;1;1;christian;0
74;Mohale’s Hoek;0.94580787;0.0;7;7603044;3;Tsatsane Community;-30.4461;27.986099;ADM3;6295630|6255146|LS|18|7603044;Earth|Africa|Lesotho|Quthing|Tsatsane Community;1;1;christian;0
75;Quthing;0.94581181;0.0;7;932506;4;Maseru;-29.58333;27.83333;ADM1;6295630|6255146|LS|14;Earth|Africa|Lesotho|Maseru;1;1;christian;0
76;Qacha’s Nek;0.92587429;0.0;7;932692;6;Lesotho;-29.5;28.25;PCLI;6295630|6255146|LS;Earth|Africa|Lesotho;1;1;christian;0
80;Berea;0.92311561;0.0061404044;7;7432583;3;Phuthiatsana Community;-29.1255;27.880051;ADM3;6295630|6255146|LS|10|7432583;Earth|Africa|Lesotho|Berea|Phuthiatsana Community;1;1;christian;0
81;Thaba Tseka;0.9139083;0.0;7;7603114;3;Bobete Community;-29.443451;28.717501;ADM3;6295630|6255146|LS|19|7603114;Earth|Africa|Lesotho|Thaba-Tseka|Bobete Community;1;1;christian;0
85;Grand Bassa;0.97756398;0.0058479612;8;9817889;1;Dirt Hole Camp;6.14643;-9.7292299;PPL;6295630|6255146|LR|11|9817889;Earth|Africa|Liberia|Grand Bassa County|Dirt Hole Camp;2;1;christian;0
86;Grand Cape Mount;0.080155268;0.91984475;8;2274351;3;Porkpa District;7.2800798;-11.06562;ADM2;6295630|6255146|LR|12|2274351;Earth|Africa|Liberia|Grand Cape Mount County|Porkpa District;1;1;muslim;0
87;Grand Gedeh;0.96646601;0.03353399;8;2272491;1;Zwedru;6.06846;-8.1355896;PPLA;6295630|6255146|LR|19|2272491;Earth|Africa|Liberia|Grand Gedeh County|Zwedru;2;1;christian;0
88;Grand Kru;1.0;0.0;8;9874222;1;Bila Togbaklee;4.6280398;-8.3177404;PPL;6295630|6255146|LR|16|9874222;Earth|Africa|Liberia|Grand Kru County|Bila Togbaklee;2;1;christian;0
90;Margibi;0.96288657;0.033857793;8;2275493;1;Kwalakoma;6.7283301;-10.25944;PPL;6295630|6255146|LR|17|2275493;Earth|Africa|Liberia|Margibi County|Kwalakoma;2;1;christian;0
91;Maryland;0.9207859;0.01627538;8;2276492;1;Harper;4.3782001;-7.7108102;PPLA;6295630|6255146|LR|13|2276492;Earth|Africa|Liberia|Maryland County|Harper;2;1;christian;0
93;Nimba;0.91290265;0.010852718;8;9645142;3;Yarpea Mahn District;7.2232699;-8.6856003;ADM2;6295630|6255146|LR|09|9645142;Earth|Africa|Liberia|Nimba County|Yarpea Mahn District;1;1;christian;0
94;River Cess;0.93901825;0.0;8;9645147;3;Central River Cess District;5.81006;-9.3179398;ADM2;6295630|6255146|LR|18|9645147;Earth|Africa|Liberia|River Cess County|Central River Cess District;1;1;christian;0
95;River Gee;0.94633949;0.0;8;2278019;3;Chedepo;5.4783201;-8.0136499;ADM2;6295630|6255146|LR|22|2278019;Earth|Africa|Liberia|River Gee County|Chedepo;1;1;christian;0
96;Sinoe;1.0;0.0;8;2273898;4;Sinoe County;5.3333302;-8.7666702;ADM1;6295630|6255146|LR|10;Earth|Africa|Liberia|Sinoe County;1;1;christian;0
97;Alaotra Mangoro;0.96079463;0.0;9;1071494;1;Anosibe;-18.91667;48.049999;PPL;6295630|6255146|MG|04;Earth|Africa|Madagascar|Anosibe;2;1;christian;0
98;Amoron'i Mania;0.97005624;0.0;9;1084267;1;Ambalamanakana;-20.73333;47.183331;PPL;6295630|6255146|MG|02;Earth|Africa|Madagascar|Ambalamanakana;2;1;christian;0
99;Analamanga;0.91715801;0.016685359;9;11072805;3;Anjozorobe;-18.1366;47.71191;ADM2;6295630|6255146|MG|7670856|11072805;Earth|Africa|Madagascar|Analamanga Region|Anjozorobe;1;1;christian;0
102;Anosy;0.95976222;0.0;9;8299289;3;Betroka District;-23.357389;45.936581;ADM2;6295630|6255146|MG|7670910|8299289;Earth|Africa|Madagascar|Anosy Region|Betroka District;1;1;christian;0
108;Bongolava;0.96810037;0.0;9;1060857;1;Mangarivo;-18.85;46.333328;PPL;6295630|6255146|MG|05;Earth|Africa|Madagascar|Mangarivo;2;1;christian;0
110;Haute Matsiatra;0.9710595;0.0;9;11102226;1;Tanana Ambany;-21.43104;47.06889;PPL;6295630|6255146|MG|11102226;Earth|Africa|Madagascar|Tanana Ambany;2;1;christian;39131.66482049134
111;Ihorombe;0.97660536;0.0;9;11205047;1;Anarafanja;-22.409281;46.134121;PPLX;6295630|6255146|MG|11205047;Earth|Africa|Madagascar|Anarafanja;2;1;christian;0
117;Vakinankaratra;0.97881448;0.0;9;1069164;1;Antsirabe Afovoany;-15.95;48.966671;PPL;6295630|6255146|MG|7670847|1069164;Earth|Africa|Madagascar|Sofia Region|Antsirabe Afovoany;2;1;christian;0
123;Koulikoro;0.025448579;0.91083342;11;2455558;1;Kati;12.74409;-8.0725698;PPLA2;6295630|6255146|ML|07|2455558;Earth|Africa|Mali|Koulikoro|Kati;2;1;muslim;36903.20134624561
126;Mopti;0.0;0.96038222;11;6874899;1;Doukoro;13.6873;-3.7272999;PPL;6295630|6255146|ML|04|6874899;Earth|Africa|Mali|Mopti|Doukoro;2;1;muslim;0
127;Bamako;0.022325752;0.92224151;11;7701196;3;Commune 4;12.61174;-8.04391;ADM3;6295630|6255146|ML|01|7701196;Earth|Africa|Mali|Bamako Region|Commune 4;1;1;muslim;36913.315852123356
131;Inhambane;0.93391883;0.016033826;12;1024292;1;Zandamela;-24.78861;34.312778;PPL;6295630|6255146|MZ|03|1024292;Earth|Africa|Mozambique|Inhambane Province|Zandamela;2;1;christian;0
140;Erongo;0.9866544;0.0;13;3359638;1;Walvis Bay;-22.9575;14.50528;PPL;6295630|6255146|NA|29|3359638;Earth|Africa|Namibia|Erongo|Walvis Bay;2;1;christian;0
141;Hardap;0.97647786;0.0;13;3353540;1;Rehoboth;-23.316999;17.09;PPL;6295630|6255146|NA|30|3353540;Earth|Africa|Namibia|Hardap|Rehoboth;2;1;christian;0
142;Karas;1.0;0.0;13;7116015;2;Rosh Pinah;-27.966049;16.76136;PPLL;6295630|6255146|NA|31|7931912|7116015;Earth|Africa|Namibia|Karas|Oranjemund Constituency|Rosh Pinah;2;1;christian;0
143;Kavango;0.94942546;0.0;13;876961;1;Ndiyona;-18.033331;20.700001;PPL;6295630|6255146|NA|40|876961;Earth|Africa|Namibia|Kavango East|Ndiyona;2;1;christian;0
144;Khomas;0.94346362;0.0;13;3352136;1;Windhoek;-22.55941;17.083229;PPLC;6295630|6255146|NA|21|3352136;Earth|Africa|Namibia|Khomas|Windhoek;2;1;christian;27477.172151514747
146;Ohangwena;1.0;0.0;13;3354170;1;Ongenga;-17.433331;15.68333;PPL;6295630|6255146|NA|33|3354170;Earth|Africa|Namibia|Ohangwena|Ongenga;2;1;christian;0
148;Omusati;0.97867012;0.0057365955;13;3357716;1;Elim;-17.716669;15.48333;PPL;6295630|6255146|NA|36|3357716;Earth|Africa|Namibia|Omusati|Elim;2;1;christian;0
149;Oshana;0.96690875;0.0;13;11257218;3;Oshakati West;-17.783331;15.68333;ADM2;6295630|6255146|NA|37|11257218;Earth|Africa|Namibia|Oshana|Oshakati West;1;1;christian;0
150;Oshikoto;0.97526932;0.0;13;11257350;3;Eengodi;-18.219999;17.25861;ADM2;6295630|6255146|NA|38|11257350;Earth|Africa|Namibia|Oshikoto|Eengodi;1;1;christian;0
152;Abia;0.93490422;0.0;14;2353151;1;Aba;5.1065798;7.3666701;PPLA2;6295630|6255146|NG|45|7701374|2353151;Earth|Africa|Nigeria|Abia State|Aba South|Aba;2;1;christian;41421.08043036939
155;Anambra;0.9544155;0.0;14;7701533;3;Njikoka;6.1841998;6.9765501;ADM2;6295630|6255146|NG|25|7701533;Earth|Africa|Nigeria|Anambra|Njikoka;1;1;christian;26414.865306807762
161;Delta;0.9359237;0.008697141;14;11239171;1;Odion Road;5.50879;5.7509098;RD;6295630|6255146|NG|36|7729943|11239171;Earth|Africa|Nigeria|Delta|Warri South|Odion Road;3;1;christian;25902.350294618795
162;Ebonyi;1.0;0.0;14;8659714;3;Abakaliki;6.2564602;8.2113304;ADM2;6295630|6255146|NG|53|8659714;Earth|Africa|Nigeria|Ebonyi State|Abakaliki;1;1;christian;20660.15476240316
163;Edo;0.92360377;0.076396197;14;2321031;1;Ubiaja;6.6558099;6.3849401;PPLA2;6295630|6255146|NG|37|8636769|2321031;Earth|Africa|Nigeria|Edo|Esan South-East|Ubiaja;2;1;christian;0
165;Enugu;0.94089347;0.01264662;14;2327523;1;Ogurugu;6.7863598;6.95017;PPL;6295630|6255146|NG|41|2327523;Earth|Africa|Nigeria|Kogi State|Ogurugu;2;1;christian;0
168;Imo;0.9402597;0.013914555;14;7729959;3;Orsu;5.8614898;6.9975901;ADM2;6295630|6255146|NG|28|7729959;Earth|Africa|Nigeria|Imo State|Orsu;1;1;christian;0
169;Jigawa;0.0;1.0;14;2346192;1;Chaichai;12.01267;9.2476597;PPL;6295630|6255146|NG|39|8634247|9410521|2346192;Earth|Africa|Nigeria|Jigawa State|Ringim|Chaichai|Chaichai;2;1;muslim;0
171;Kano;0.012371674;0.98762834;14;9410969;3;Chiranchi;11.93178;8.4760103;ADM3;6295630|6255146|NG|29|7871268|9410969;Earth|Africa|Nigeria|Kano State|Kumbotso|Chiranchi;1;1;muslim;55558.957925561816
172;Katsina;0.048846133;0.95115387;14;9411046;3;Yanduna;12.82308;8.5961599;ADM3;6295630|6255146|NG|24|8633564|9411046;Earth|Africa|Nigeria|Katsina State|Baure|Yanduna;1;1;muslim;0
173;Kebbi;0.0;1.0;14;2330556;1;Mayalo;12.25046;4.2768402;PPL;6295630|6255146|NG|40|7873917|9411450|2330556;Earth|Africa|Nigeria|Kebbi State|Maiyama|Sambawa Mayalo|Mayalo;2;1;muslim;0
184;Rivers;0.9462803;0.0;14;2334017;1;Kono;4.5975399;7.4963298;PPL;6295630|6255146|NG|50|7874704|2334017;Earth|Africa|Nigeria|Rivers State|Khana|Kono;2;1;christian;0
188;Zamfara;0.048497286;0.93175548;14;7873916;3;Gummi;12.05409;5.1135998;ADM2;6295630|6255146|NG|57|7873916;Earth|Africa|Nigeria|Zamfara State|Gummi;1;1;muslim;0
189;Dakar;0.071065612;0.9289344;15;2253193;1;Darou Khoudos;15.107;-16.836901;PPL;6295630|6255146|SN|07|2253193;Earth|Africa|Senegal|RÃ©gion de ThiÃ¨s|Darou Khoudos;2;1;muslim;0
190;Diourbel;0.0;1.0;15;2253185;1;Darou Marnane;14.83333;-15.88333;PPL;6295630|6255146|SN|03|2253185;Earth|Africa|Senegal|Diourbel|Darou Marnane;2;1;muslim;0
191;Fatick;0.097157367;0.90284264;15;2252233;1;Djilor;14.06667;-16.33333;PPL;6295630|6255146|SN|09|2252233;Earth|Africa|Senegal|Fatick|Djilor;2;1;muslim;0
192;Kaffrine;0.0;1.0;15;7303935;4;RÃ©gion de Kaffrine;14.10528;-15.54565;ADM1;6295630|6255146|SN|16;Earth|Africa|Senegal|RÃ©gion de Kaffrine;1;1;muslim;0
193;Kaolack;0.0;1.0;15;2250671;1;Kaymor;13.76667;-15.6;PPL;6295630|6255146|SN|10|2250671;Earth|Africa|Senegal|Kaolack|Kaymor;2;1;muslim;0
195;Kolda;0.0;1.0;15;2247283;1;Niaming;13.31667;-14.75;PPL;6295630|6255146|SN|11|2247283;Earth|Africa|Senegal|Kolda|Niaming;2;1;muslim;0
196;Louga;0.0;1.0;15;2248075;1;Ndande;15.2722;-16.517;PPL;6295630|6255146|SN|13|2248075;Earth|Africa|Senegal|Louga|Ndande;2;1;muslim;0
197;Matam;0.017162405;0.98283762;15;2244170;1;VÃ©lingara;15.0;-14.66667;PPL;6295630|6255146|SN|13|2244170;Earth|Africa|Senegal|Louga|VÃ©lingara;2;1;muslim;0
198;Saint-Louis;0.071299002;0.92870098;15;2246544;1;Richard-Toll;16.4625;-15.70083;PPL;6295630|6255146|SN|14|2246544;Earth|Africa|Senegal|Saint-Louis|Richard-Toll;2;1;muslim;0
199;Sédhiou;0.0;1.0;15;10402310;3;Goudomp Department;12.57778;-15.87222;ADM2;6295630|6255146|SN|18|10402310;Earth|Africa|Senegal|RÃ©gion de SÃ©dhiou|Goudomp Department;1;1;muslim;0
200;Tambacounda;0.036410425;0.96358955;15;2245278;1;SissÃ©kounda;13.56667;-14.43333;PPL;6295630|6255146|SN|05|2245278;Earth|Africa|Senegal|Tambacounda|SissÃ©kounda;2;1;muslim;0
201;Thies;0.077679262;0.92232072;15;2244286;1;Touba Toul;14.81667;-16.66667;PPL;6295630|6255146|SN|07|2244286;Earth|Africa|Senegal|RÃ©gion de ThiÃ¨s|Touba Toul;2;1;muslim;0
207;Limpopo;0.91278571;0.0023264524;16;1010967;1;Dendron;-23.36669;29.323709;PPLA3;6295630|6255146|ZA|09|8347346|8347603|1010967;Earth|Africa|South Africa|Limpopo|Capricorn District Municipality|Molemole|Dendron;2;1;christian;0
209;North West;0.91653955;0.0024899133;16;8347347;3;Bojanala Platinum;-25.426121;27.2243;ADM2;6295630|6255146|ZA|10|8347347;Earth|Africa|South Africa|Province of North West|Bojanala Platinum;1;1;christian;0
210;Northern Cape;0.94450676;0.005815444;16;11204576;1;Galeshewe;-28.716999;24.725;PPLX;6295630|6255146|ZA|08|8347385|8347551|11204576;Earth|Africa|South Africa|Northern Cape|Frances Baard District Municipality|Sol Plaatjie|Galeshewe;2;1;christian;11830.401117075024
223;Mbeya;0.90693867;0.019805215;17;11005343;3;Isange;-9.16856;33.834068;ADM3;6295630|6255146|TZ|09|150412|11005343;Earth|Africa|Tanzania|Mbeya|Rungwe District Council|Isange;1;1;christian;0
233;Unguja Kaskazini;0.032167707;0.96783227;17;11204826;3;Kaskazini A;-5.8660402;39.315948;ADM2;6295630|6255146|TZ|22|11204826;Earth|Africa|Tanzania|Zanzibar North|Kaskazini A;1;1;muslim;0
234;Unfuja Kusini;0.037941881;0.96205813;17;150839;1;Paje;-6.2666702;39.533329;PPL;6295630|6255146|TZ|21|11204829|150840|150839;Earth|Africa|Tanzania|Zanzibar Central/South|Kusini|Paje|Paje;2;1;muslim;0
235;Mjini Magharibi;0.013091201;0.98032808;17;153262;1;Mombasa;-6.1999998;39.216671;PPL;6295630|6255146|TZ|25|11204825|153263|153262;Earth|Africa|Tanzania|Zanzibar Urban/West|Magharibi|Mombasa|Mombasa;2;1;muslim;14541.384937069022
236;Pemba Kaskazini;0.0;1.0;17;10951169;3;Mjini Wingwi;-4.9978099;39.84222;ADM3;6295630|6255146|TZ|13|156512|10951169;Earth|Africa|Tanzania|Pemba North|Micheweni District|Mjini Wingwi;1;1;muslim;0
237;Pemba Kusini;0.058109939;0.94189006;17;160675;3;Chake Chake District;-5.2473402;39.773899;ADM2;6295630|6255146|TZ|20|160675;Earth|Africa|Tanzania|Pemba South|Chake Chake District;1;1;muslim;0
239;West;0.92833066;0.045977902;18;11238110;3;Kitegula;0.95833999;31.42931;ADM5;6295630|6255146|UG|W|443343|8644161|8657988|11238110;Earth|Africa|Uganda|Western Region|Kibale District|Bugangaizi|Nkooko|Kitegula;1;1;christian;0
272;Rodrigues;0.99352157;0.0;21;1547449;4;Rodrigues;-19.701;63.416;ADM1;6295630|6255146|MU|23;Earth|Africa|Mauritius|Rodrigues;1;1;christian;0
277;Agadez;0.0;1.0;23;11205134;3;Commune de Tchirozerine;17.1054;7.8281002;ADM3;6295630|6255146|NE|01|11205134;Earth|Africa|Niger|Agadez|Commune de Tchirozerine;1;1;muslim;0
278;Diffa;0.0822194;0.91778058;23;2444298;1;Goudoumaria;13.7109;11.1885;PPL;6295630|6255146|NE|02|2444298;Earth|Africa|Niger|Diffa|Goudoumaria;2;1;muslim;0
279;Dosso;0.029560488;0.95413876;23;2444975;1;FodÃ©-KaÃ¯na;13.122;3.2980001;PPL;6295630|6255146|NE|03|2444975;Earth|Africa|Niger|Dosso Region|FodÃ©-KaÃ¯na;2;1;muslim;0
280;Maradi;0.0;1.0;23;2441291;1;Maradi;13.5;7.1017399;PPLA;6295630|6255146|NE|04|2441291;Earth|Africa|Niger|Maradi|Maradi;2;1;muslim;0
281;Tahoua;0.0099070333;0.98574722;23;2447317;1;BadÃ©gichÃ©ri;14.5245;5.3676;PPL;6295630|6255146|NE|06|2447317;Earth|Africa|Niger|Tahoua|BadÃ©gichÃ©ri;2;1;muslim;0
282;Tillabéri;0.0;1.0;23;2446542;1;Boulkass;13.8288;3.0834999;PPL;6295630|6255146|NE|09|2446542;Earth|Africa|Niger|Tillaberi Region|Boulkass;2;1;muslim;0
283;Zinder;0.0;1.0;23;10943048;3;Mirriah Department;13.70722;9.1499996;ADM2;6295630|6255146|NE|07|10943048;Earth|Africa|Niger|Zinder|Mirriah Department;1;1;muslim;0
284;Niamey;0.017066257;0.96667445;23;11205494;1;Koira Kano;13.54359;2.06161;PPLX;6295630|6255146|NE|08|11205494;Earth|Africa|Niger|Niamey|Koira Kano;2;1;muslim;14401.542409923444
292;Bujumbura;0.91207564;0.016464014;25;423753;2;Bugarama;-3.7109001;29.357401;PPLL;6295630|6255146|BI|26|423753;Earth|Africa|Burundi|Rumonge|Bugarama;2;1;christian;0
294;Bururi;0.96075779;0.014362811;25;423333;2;Burunga;-3.9474001;29.562;PPLL;6295630|6255146|BI|10|423333;Earth|Africa|Burundi|Bururi|Burunga;2;1;christian;0
297;Gitega;0.9899807;0.0;25;425986;2;Gitongo;-3.2704999;29.825399;PPLL;6295630|6255146|BI|13|425986;Earth|Africa|Burundi|Gitega|Gitongo;2;1;christian;0
298;Karusi;0.97355598;0.0;25;428304;1;Kivoga;-3.17893;30.087641;PPL;6295630|6255146|BI|14|428304;Earth|Africa|Burundi|Karuzi|Kivoga;2;1;christian;0
299;Kayanza;0.9475376;0.024765488;25;9072885;3;Commune of Matongo;-3.0894401;29.61194;ADM2;6295630|6255146|BI|15|9072885;Earth|Africa|Burundi|Kayanza|Commune of Matongo;1;1;christian;0
300;Kirundo;0.91051;0.048030362;25;11239036;3;Kararire;-2.5608499;30.1782;ADM4;6295630|6255146|BI|16|11239036;Earth|Africa|Burundi|Kirundo|Kararire;1;1;christian;0
301;Makamba;0.97149473;0.028505269;25;422233;4;Makamba;-4.1666698;29.752781;ADM1;6295630|6255146|BI|17;Earth|Africa|Burundi|Makamba;1;1;christian;0
302;Muramvya;0.95666343;0.0;25;7670615;3;Rutegama;-3.30779;29.74785;ADM2;6295630|6255146|BI|22|7670615;Earth|Africa|Burundi|Muramvya|Rutegama;1;1;christian;0
304;Mwaro;1.0;0.0;25;427568;2;Kibimba;-3.10852;30.716249;LCTY;6295630|6255146|BI|11|427568;Earth|Africa|Burundi|Cankuzo|Kibimba;2;1;christian;0
305;Ngozi;0.92752695;0.058666434;25;430391;1;Kiremba;-2.8211;29.982599;PPL;6295630|6255146|BI|19|430391;Earth|Africa|Burundi|Ngozi|Kiremba;2;1;christian;0
306;Rutana;0.9777106;0.0;25;424941;1;Musongati;-3.7289;30.101101;PPL;6295630|6255146|BI|20|424941;Earth|Africa|Burundi|Rutana|Musongati;2;1;christian;0
307;Ruyigi;0.98643208;0.0;25;426699;4;Ruyigi;-3.45;30.316669;ADM1;6295630|6255146|BI|21;Earth|Africa|Burundi|Ruyigi;1;1;christian;0
308;Yaounde;0.94048244;0.023131177;26;2220957;1;Yaoundé;3.8666699;11.51667;PPLC;6295630|6255146|CM|11|2220957;Earth|Africa|Cameroon|Centre|YaoundÃ©;2;1;christian;66524.87620481022
311;Centre;0.98160148;0.015978027;26;2230312;1;Kiki;4.6666698;11.18333;PPL;6295630|6255146|CM|11|2230312;Earth|Africa|Cameroon|Centre|Kiki;2;1;christian;0
